genus,species,trait,,,,,,,,,,,,,,
Clematis,albicoma,1,,,,,,,,,,,,,,
Clematis,alpina,1,,,,,,,,,,,,,,
Clematis,aristata,1,,,,,,,,,,,,,,
Clematis,armandii,0,,,,,,,,,,,,,,
Clematis,baldwinii ,0,,,,,,,,,,,,,,
Clematis,bigelovii ,1,,,,,,,,,,,,,,
Clematis,brachiata,0,,,,,,,,,,,,,,
Clematis,campaniflora,0,,,,,,,,,,,,,,
Clematis,catesbyana,1,,,,,,,,,,,,,,
Clematis,chinensis,0,,,,,,,,,,,,,,
Clematis,chrysocoma,0,,,,,,,,,,,,,,
Clematis,cirrhosa,0,,,,,,,,,,,,,,
Clematis,coactilis ,0,,,,,,,,,,,,,,
Clematis,columbiana ,0,,,,,,,,,,,,,,
Clematis,crispa ,1,,,,,,,,,,,,,,
Clematis,cunninghamii,0,,,,,,,,,,,,,,
Clematis,dioica,1,,,,,,,,,,,,,,
Clematis,drummondii ,1,,,,,,,,,,,,,,
Clematis,durandii,1,,,,,,,,,,,,,,
Clematis,fawcettii ,0,,,,,,,,,,,,,,
Clematis,flammula ,0,,,,,,,,,,,,,,
Clematis,florida ,1,,,,,,,,,,,,,,
Clematis,fremontii ,0,,,,,,,,,,,,,,
Clematis,glaucophylla ,1,,,,,,,,,,,,,,
Clematis,glycinoides ,1,,,,,,,,,,,,,,
Clematis,gouriana,0,,,,,,,,,,,,,,
Clematis,henryi ,0,,,,,,,,,,,,,,
Clematis,hirsutissima ,1,,,,,,,,,,,,,,
Clematis,hedysarifolia ,1,,,,,,,,,,,,,,
Clematis,integrifolia ,1,,,,,,,,,,,,,,
Clematis,ispahanica,1,,,,,,,,,,,,,,
Clematis,_,1,,,,,,,,,,,,,,
Clematis,koreana ,0,,,,,,,,,,,,,,
Clematis,lanuginosa ,0,,,,,,,,,,,,,,
Clematis,lasiantha ,0,,,,,,,,,,,,,,
Clematis,leptophylla ,0,,,,,,,,,,,,,,
Clematis,ligusticifolia ,1,,,,,,,,,,,,,,
Clematis,macropetala ,1,,,,,,,,,,,,,,
Clematis,mandshurica,0,,,,,,,,,,,,,,
Clematis,marmoraria ,1,,,,,,,,,,,,,,
Clematis,microphylla ,1,,,,,,,,,,,,,,
Clematis,montana ,0,,,,,,,,,,,,,,
Clematis,morefieldii,0,,,,,,,,,,,,,,
Clematis,napaulensis,1,,,,,,,,,,,,,,
Clematis,occidentalis ,1,,,,,,,,,,,,,,
Clematis,ochroleuca ,0,,,,,,,,,,,,,,
Clematis,orientalis,1,,,,,,,,,,,,,,
Clematis,palmeri ,0,,,,,,,,,,,,,,
Clematis,paniculata ,0,,,,,,,,,,,,,,
Clematis,patens ,0,,,,,,,,,,,,,,
Clematis,pauciflora ,0,,,,,,,,,,,,,,
Clematis,pickeringii ,1,,,,,,,,,,,,,,
Clematis,pitcheri ,1,,,,,,,,,,,,,,
Clematis,pubescens ,0,,,,,,,,,,,,,,
Clematis,recta ,1,,,,,,,,,,,,,,
Clematis,reticulata ,1,,,,,,,,,,,,,,
Clematis,rhodocarpa ,0,,,,,,,,,,,,,,
Clematis,smilacifolia ,1,,,,,,,,,,,,,,
Clematis,socialis ,1,,,,,,,,,,,,,,
Clematis,stans ,1,,,,,,,,,,,,,,
Clematis,tangutica,0,,,,,,,,,,,,,,
Clematis,terniflora ,0,,,,,,,,,,,,,,
Clematis,texensis ,0,,,,,,,,,,,,,,
Clematis,versicolor ,1,,,,,,,,,,,,,,
Clematis,verticillaris ,1,,,,,,,,,,,,,,
Clematis,viorna,0,,,,,,,,,,,,,,
Clematis,virginiana ,1,,,,,,,,,,,,,,
Clematis,viridiflora ,0,,,,,,,,,,,,,,
Clematis,vitalba ,0,,,,,,,,,,,,,,
Clematis,viticaulis,1,,,,,,,,,,,,,,
Clematis,viticella ,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
