species,polyploid,ploidy
Fragaria daltoniana,0,Diploid
Fragaria iinumae,0,Diploid
Fragaria nilgerrensis,0,Diploid
Fragaria nipponica,0,Diploid
Fragaria nubicola,0,Diploid
Fragaria vesca,0,Diploid
Fragaria viridis,0,Diploid
Fragaria yezoensis,0,Diploid
Fragaria moupinensis,1,Tetraploid
Fragaria orientalis,1,Tetraploid
Fragaria bringhurstii,1,Pentaploid
Fragaria moschata,1,Hexaploid
Fragaria comarum,1,Heptaploid
Fragaria ananassa,1,Octoploid
Fragaria chiloensis,1,Octoploid
Fragaria iturupensis,1,Octoploid
Fragaria virginiana,1,Octoploid
Fragaria vescana,1,Decaploid
