Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6519.514	-6505.302	-14.21239	0.9338664	1	0.1086715	0.03185504	0.0205961	0.092353	0.527287	0.174597	0.156795	0.0283717	0.07476151	0.136954	0.476752	1	2.38629	0.331889	0.0104942	0.415061	0.242556	0.1066166	0.7012186
0	-6519.514	-6505.302	-14.21239	0.9338664	1	0.1086715	0.03185504	0.0205961	0.092353	0.527287	0.174597	0.156795	0.0283717	0.07476151	0.136954	0.476752	1	2.38629	0.331889	0.0104942	0.415061	0.242556	0.1066166	0.7012186
10	-4043.522	-4029.511	-14.01132	0.3825918	0.2345493	0.1319358	-0.08978032	0.0151293	0.15653	0.316703	0.00558934	0.489525	0.0165237	0.115766	0.00146817	0.0557814	0.46775	3.475	0.290308	0.212828	0.222451	0.274413	0.02598564	4.454998
10	-4043.522	-4029.511	-14.01132	0.3825918	0.2345493	0.1319358	-0.08978032	0.0151293	0.15653	0.316703	0.00558934	0.489525	0.0165237	0.115766	0.00146817	0.0557814	0.46775	3.475	0.290308	0.212828	0.222451	0.274413	0.02598564	4.454998
20	-3762.319	-3746.44	-15.87862	0.3219932	0.1891819	0.2018229	-0.09213258	0.00634487	0.415181	0.0528341	0.00296171	0.516677	0.00600157	0.1859887	0.000357896	0.0277769	0.354839	3.61703	0.321585	0.30472	0.144521	0.229174	0.09385612	1.981636
20	-3762.319	-3746.44	-15.87862	0.3219932	0.1891819	0.2018229	-0.09213258	0.00634487	0.415181	0.0528341	0.00296171	0.516677	0.00600157	0.1859887	0.000357896	0.0277769	0.354839	3.61703	0.321585	0.30472	0.144521	0.229174	0.09385612	1.981636
30	-3745.613	-3728.226	-17.38717	0.2863004	0.1990271	0.260595	0.1198988	0.00870965	0.433334	0.0192535	0.00191424	0.534057	0.00273238	0.1319949	0.000513569	0.0332161	0.381114	3.58516	0.295456	0.296349	0.13111	0.277084	0.2518937	0.5240104
30	-3745.613	-3728.226	-17.38717	0.2863004	0.1990271	0.260595	0.1198988	0.00870965	0.433334	0.0192535	0.00191424	0.534057	0.00273238	0.1319949	0.000513569	0.0332161	0.381114	3.58516	0.295456	0.296349	0.13111	0.277084	0.2518937	0.5240104
40	-3743.112	-3727.018	-16.09404	0.2897372	0.1861759	0.2202319	-0.03469492	0.00808268	0.503244	0.0208584	0.00883186	0.455824	0.00315839	0.1606271	0.000318093	0.0262003	0.346627	3.62685	0.278794	0.300265	0.142427	0.278514	0.1259321	1.275505
40	-3743.112	-3727.018	-16.09404	0.2897372	0.1861759	0.2202319	-0.03469492	0.00808268	0.503244	0.0208584	0.00883186	0.455824	0.00315839	0.1606271	0.000318093	0.0262003	0.346627	3.62685	0.278794	0.300265	0.142427	0.278514	0.1259321	1.275505
50	-3735.909	-3719.458	-16.45141	0.2649384	0.1771155	0.2818347	-0.09934433	0.00879163	0.488332	0.0118028	0.0100543	0.47405	0.00696912	0.1821887	0.000217611	0.0217034	0.321364	3.65672	0.289013	0.313217	0.135394	0.262376	0.08284441	2.199168
50	-3735.909	-3719.458	-16.45141	0.2649384	0.1771155	0.2818347	-0.09934433	0.00879163	0.488332	0.0118028	0.0100543	0.47405	0.00696912	0.1821887	0.000217611	0.0217034	0.321364	3.65672	0.289013	0.313217	0.135394	0.262376	0.08284441	2.199168
60	-3739.551	-3724.874	-14.67677	0.3048535	0.1954554	0.2558072	-0.02965354	0.00988871	0.523548	0.00867054	0.00651817	0.446303	0.00507243	0.05693056	0.000452407	0.0311955	0.371693	3.59666	0.300276	0.299887	0.128466	0.271372	0.02727701	2.087126
60	-3739.551	-3724.874	-14.67677	0.3048535	0.1954554	0.2558072	-0.02965354	0.00988871	0.523548	0.00867054	0.00651817	0.446303	0.00507243	0.05693056	0.000452407	0.0311955	0.371693	3.59666	0.300276	0.299887	0.128466	0.271372	0.02727701	2.087126
70	-3740.256	-3725.103	-15.15361	0.2909208	0.2325693	0.246769	0.0252161	0.0076785	0.524772	0.00763509	0.0190397	0.432938	0.00793625	0.06300951	0.00139645	0.0544234	0.463258	3.48092	0.319239	0.292291	0.133751	0.254719	0.08822561	0.7141862
70	-3740.256	-3725.103	-15.15361	0.2909208	0.2325693	0.246769	0.0252161	0.0076785	0.524772	0.00763509	0.0190397	0.432938	0.00793625	0.06300951	0.00139645	0.0544234	0.463258	3.48092	0.319239	0.292291	0.133751	0.254719	0.08822561	0.7141862
80	-3748.275	-3731.357	-16.91741	0.2791774	0.2152602	0.3100292	-0.2211973	0.0166588	0.458336	0.00860822	0.0136967	0.493482	0.0092188	0.2562471	0.000866553	0.0430168	0.422301	3.53382	0.321424	0.294449	0.146161	0.237966	0.03504981	7.31094
80	-3748.275	-3731.357	-16.91741	0.2791774	0.2152602	0.3100292	-0.2211973	0.0166588	0.458336	0.00860822	0.0136967	0.493482	0.0092188	0.2562471	0.000866553	0.0430168	0.422301	3.53382	0.321424	0.294449	0.146161	0.237966	0.03504981	7.31094
90	-3743.084	-3727.693	-15.39121	0.2862348	0.1912493	0.301672	-0.08619178	0.011995	0.434801	0.00589085	0.00854737	0.526607	0.0121594	0.1004483	0.000387288	0.0288846	0.360436	3.61029	0.30091	0.302996	0.138013	0.258081	0.01425652	7.045779
90	-3743.084	-3727.693	-15.39121	0.2862348	0.1912493	0.301672	-0.08619178	0.011995	0.434801	0.00589085	0.00854737	0.526607	0.0121594	0.1004483	0.000387288	0.0288846	0.360436	3.61029	0.30091	0.302996	0.138013	0.258081	0.01425652	7.045779
100	-3742.77	-3726.95	-15.81919	0.3190705	0.2188359	0.1884625	-0.1673555	0.0209543	0.558943	0.00923994	0.00829146	0.394159	0.00841195	0.2294949	0.000962273	0.0452993	0.431011	3.52273	0.310043	0.29277	0.128574	0.268614	0.06213937	3.693229
100	-3742.77	-3726.95	-15.81919	0.3190705	0.2188359	0.1884625	-0.1673555	0.0209543	0.558943	0.00923994	0.00829146	0.394159	0.00841195	0.2294949	0.000962273	0.0452993	0.431011	3.52273	0.310043	0.29277	0.128574	0.268614	0.06213937	3.693229
110	-3739.238	-3720.762	-18.47654	0.3270712	0.2205274	0.2418968	0.1600983	0.0144816	0.493214	0.00540511	0.00644275	0.472615	0.00784124	0.1784461	0.00100997	0.0463933	0.435086	3.51751	0.301094	0.29474	0.133245	0.270922	0.3385444	0.5270982
110	-3739.238	-3720.762	-18.47654	0.3270712	0.2205274	0.2418968	0.1600983	0.0144816	0.493214	0.00540511	0.00644275	0.472615	0.00784124	0.1784461	0.00100997	0.0463933	0.435086	3.51751	0.301094	0.29474	0.133245	0.270922	0.3385444	0.5270982
120	-3740.026	-3724.403	-15.62369	0.2927426	0.1839548	0.2348964	-0.09539295	0.0202539	0.4806	0.00917937	0.00412894	0.479088	0.00675015	0.1571917	0.000290832	0.025062	0.340504	3.63414	0.300792	0.301575	0.13955	0.258083	0.0617988	2.543605
120	-3740.026	-3724.403	-15.62369	0.2927426	0.1839548	0.2348964	-0.09539295	0.0202539	0.4806	0.00917937	0.00412894	0.479088	0.00675015	0.1571917	0.000290832	0.025062	0.340504	3.63414	0.300792	0.301575	0.13955	0.258083	0.0617988	2.543605
130	-3742.976	-3727.083	-15.89371	0.3390827	0.2408561	0.19667	0.1253841	0.0207216	0.480429	0.00659524	0.00397479	0.478917	0.00936324	0.07816342	0.00171265	0.0601705	0.481802	3.45632	0.309274	0.278968	0.133741	0.278017	0.2035475	0.3840058
130	-3742.976	-3727.083	-15.89371	0.3390827	0.2408561	0.19667	0.1253841	0.0207216	0.480429	0.00659524	0.00397479	0.478917	0.00936324	0.07816342	0.00171265	0.0601705	0.481802	3.45632	0.309274	0.278968	0.133741	0.278017	0.2035475	0.3840058
140	-3742.314	-3727.632	-14.68224	0.3540671	0.2206176	0.2076356	-0.02560526	0.0252156	0.492346	0.00679446	0.00243163	0.463057	0.0101557	0.0799342	0.00101256	0.0464519	0.435303	3.51723	0.300085	0.296592	0.143604	0.259719	0.05432894	1.471301
140	-3742.314	-3727.632	-14.68224	0.3540671	0.2206176	0.2076356	-0.02560526	0.0252156	0.492346	0.00679446	0.00243163	0.463057	0.0101557	0.0799342	0.00101256	0.0464519	0.435303	3.51723	0.300085	0.296592	0.143604	0.259719	0.05432894	1.471301
150	-3745.166	-3730.817	-14.34874	0.3888046	0.2431072	0.1916496	-0.03387381	0.0139711	0.550671	0.0124903	0.00163298	0.409248	0.0119867	0.07406593	0.00180593	0.0617593	0.486723	3.44971	0.301742	0.289083	0.138754	0.270421	0.04019212	1.842797
150	-3745.166	-3730.817	-14.34874	0.3888046	0.2431072	0.1916496	-0.03387381	0.0139711	0.550671	0.0124903	0.00163298	0.409248	0.0119867	0.07406593	0.00180593	0.0617593	0.486723	3.44971	0.301742	0.289083	0.138754	0.270421	0.04019212	1.842797
160	-3747.509	-3732.603	-14.90562	0.4021977	0.2638159	0.2215053	-0.04901004	0.0243427	0.526141	0.00543716	0.00458436	0.426091	0.0134035	0.09529888	0.00281914	0.0768334	0.52973	3.39062	0.283222	0.316451	0.126674	0.273653	0.04628884	2.058787
160	-3747.509	-3732.603	-14.90562	0.4021977	0.2638159	0.2215053	-0.04901004	0.0243427	0.526141	0.00543716	0.00458436	0.426091	0.0134035	0.09529888	0.00281914	0.0768334	0.52973	3.39062	0.283222	0.316451	0.126674	0.273653	0.04628884	2.058787
170	-3743.831	-3728.304	-15.52693	0.332227	0.2149146	0.2627499	0.04580772	0.0096911	0.488646	0.017789	0.00245781	0.46729	0.0141257	0.06399348	0.000857664	0.0427984	0.421452	3.53489	0.309773	0.297336	0.133644	0.259248	0.1098012	0.5828122
170	-3743.831	-3728.304	-15.52693	0.332227	0.2149146	0.2627499	0.04580772	0.0096911	0.488646	0.017789	0.00245781	0.46729	0.0141257	0.06399348	0.000857664	0.0427984	0.421452	3.53489	0.309773	0.297336	0.133644	0.259248	0.1098012	0.5828122
180	-3745.241	-3728.858	-16.38293	0.3334484	0.2103593	0.2476704	-0.02469243	0.00961744	0.546892	0.00715385	0.00760393	0.417598	0.0111348	0.1537505	0.000746291	0.0399574	0.41015	3.54915	0.296719	0.322472	0.105382	0.275427	0.1290581	1.191328
180	-3745.241	-3728.858	-16.38293	0.3334484	0.2103593	0.2476704	-0.02469243	0.00961744	0.546892	0.00715385	0.00760393	0.417598	0.0111348	0.1537505	0.000746291	0.0399574	0.41015	3.54915	0.296719	0.322472	0.105382	0.275427	0.1290581	1.191328
190	-3741.299	-3725.675	-15.6241	0.3350088	0.2381755	0.2323679	-0.01298027	0.0151196	0.583051	0.0100128	0.0030284	0.374593	0.0141946	0.1145082	0.00160572	0.0582935	0.475877	3.46422	0.272971	0.30643	0.133263	0.287336	0.101528	1.127849
190	-3741.299	-3725.675	-15.6241	0.3350088	0.2381755	0.2323679	-0.01298027	0.0151196	0.583051	0.0100128	0.0030284	0.374593	0.0141946	0.1145082	0.00160572	0.0582935	0.475877	3.46422	0.272971	0.30643	0.133263	0.287336	0.101528	1.127849
200	-3743.677	-3724.495	-19.18265	0.2708512	0.2284529	0.2659149	-0.03579575	0.00803543	0.560159	0.00853857	0.00326691	0.396708	0.0232919	0.3144139	0.00125486	0.0516328	0.453792	3.49332	0.291985	0.309853	0.136763	0.261399	0.2786182	1.128476
